$ csvcut -K 1 -c 4,6 appearances.csv | sort | uniq -c | sort -nr
   1 Edward Roberts,Unknown
   1 Edward Pearce (journalist),Unknown
   1 Edward Gardner (British politician),Unknown
   1 Edward Daly (bishop),Unknown
   1 Edna O'Brien,Unknown
   1 Edna Healey,Unknown
   1 Edna Adan Ismail,Unknown
   1 Eddi Reader,Unknown
   1 Ed Byrne (comedian),Unknown
   1 Dustin Lance Black,Unknown
   1 Drew Middleton,Unknown
   1 Dr Sheila Lawlor,Unknown
   1 Dorothy Grace-Jones,Unknown
   1 Donny O'Rourke,Unknown
   1 Donald Stewart (Scottish politician),Scottish National Party
   1 Donald Findlay,Unknown
   1 Dom Joly,Unknown
   1 Dipak Nandy,Unknown
   1 Digby Anderson,Unknown
   1 Dickson Mabon,Labour Co-operative
   1 Dick Morris,Unknown
   1 Dianne Hayter,Unknown
   1 Diana Rookledge,Unknown
   1 Diana Jeuda,Unknown
   1 Diana Cornish,Unknown
   1 Dermot Nesbitt,Ulster Unionist Party
   1 Derek Laud,Unknown
   1 Derek Fatchett,Labour Party (UK)
   1 Derek Draper,Unknown
   1 Derek Dougan,Unknown
   1 Dennis Potter,Unknown
   1 Dennis Canavan,Independent politician
   1 Denise Searle,Unknown
   1 Declan Kearney,Sinn Féin
   1 Deborah Orr,Unknown
   1 Dawn Airey,Unknown
   1 Davina McCall,Unknown
   1 David Young,Unknown
   1 David Yelland (journalist),Unknown
   1 David Tang,Unknown
   1 David Rendel,Liberal Democrats (UK)
   1 David Puttnam,Unknown
   1 David Napley,Unknown
   1 David Montgomery (newspaper executive),Unknown
   1 David Montgomery (historian),Unknown
   1 David Jones (Clwyd West MP),Conservative Party (UK)
   1 David Hayman,Unknown
   1 David Ervine,Progressive Unionist Party
   1 David Cairns (politician),Labour Party (UK)
   1 David Butler (psephologist),Unknown
   1 David Blanchflower,Unknown
   1 David Blake,Unknown
   1 David Astor,Unknown
   1 Daphne Park,Unknown
   1 Daniel Finkelstein,Unknown
   1 Dan Snow,Unknown
   1 Damian Hinds,Conservative Party (UK)
   1 Dambisa Moyo,Unknown
   1 Craig Oliver (British journalist),Unknown
   1 Constance Briscoe,Unknown
   1 Conor Murphy,Sinn Féin
   1 Conor Burns,Conservative Party (UK)
   1 Colin Byrne,Unknown
   1 Clifford Chetwood,Unknown
   1 Clemency Burton-Hill,Unknown
   1 Claude Littner,Unknown
   1 Clarence Page,Unknown
   1 Clare Francis,Unknown
   1 Claire Palley,Unknown
   1 Claire Holder,Unknown
   1 Christopher Nixon Cox,Unknown
   1 Christopher Hitchens,Unknown
   1 Christopher Frayling,Unknown
   1 Christopher Chataway,Conservative Party (UK)
   1 Christine Laird,Unknown
   1 Christine Hancock,Unknown
   1 Christina Lyon,Unknown
   1 Christina Gorna,Unknown
   1 Christina Baxter,Unknown
   1 Christiane Amanpour,Unknown
   1 Chris Wilmore,Unknown
   1 Chris Williamson (politician),Labour Party (UK)
   1 Chris Skidmore,Conservative Party (UK)
   1 Chloe Westley,Unknown
   1 Chi Onwurah,Labour Party (UK)
   1 Cheri Jacobus,Unknown
   1 Charlotte Harris,Unknown
   1 Charlie Wolf,Unknown
   1 Charlie Whelan,Unknown
   1 Charlie Mullins,Unknown
   1 Charlie Bell,Unknown
   1 Charles Pollard,Unknown
   1 Catherine Ashton,Labour Party (UK)
   1 Cat Smith,Labour Party (UK)
   1 Cat Boyd,Unknown
   1 Caspar Weinberger,Republican Party (United States)
   1 Carolyn Radford,Unknown
   1 Carolyn Johnson,Unknown
   1 Carol Vorderman,Unknown
   1 Carol Thatcher,Unknown
   1 Carol Smart,Unknown
   1 Carol Sarler,Unknown
   1 Carmen Callil,Unknown
   1 Carl Chinn,Unknown
   1 Campaign for Nuclear Disarmament,Unknown
   1 Bryan Ferry,Unknown
   1 Bronagh Hinds,Unknown
   1 Bridget Ogilvie,Unknown
   1 Brian Sedgemore,Liberal Democrats (UK)
   1 Brian Rix,Unknown
   1 Brian Moore (rugby union),Unknown
   1 Brian May,Unknown
   1 Brian Glover,Unknown
   1 Brent Hoberman,Unknown
   1 Boy George,Unknown
   1 Boris Berezovsky (businessman),Unknown
   1 Bombay Bicycle Club,Unknown
   1 Bob Scott (businessman),Unknown
   1 Bob Mellish,Liberal Democrats (UK)
   1 Bob Kiley,Unknown
   1 Bob Hawke,Australian Labor Party
   1 Bill Sirs,Unknown
   1 Bill Rammell,Labour Party (UK)
   1 Bill Mackenzie,Unknown
   1 Bill Hayden,Australian Labor Party
   1 Bill Emmott,Unknown
   1 Bharti Patel,Unknown
   1 Beverly Malone,Unknown
   1 Beverley Knight,Unknown
   1 Beverley Hughes,Labour Party (UK)
   1 Betty Boothroyd,Crossbencher
   1 Best of Question Time special edition to mark 25 years of the programme,Unknown
   1 Bernie Grant,Labour Party (UK)
   1 Bernard Weatherill,Crossbencher
   1 Benedict Brogan,Unknown
   1 Ben Wallace (politician),Conservative Party (UK)
   1 Ben Pimlott,Unknown
   1 Barney Hayhoe,Unknown
   1 Barbara Stocking,Unknown
   1 Barbara Follett (politician),Labour Party (UK)
   1 Audrey Slaughter,Unknown
   1 Auberon Waugh,Unknown
   1 Ash Sarkar,Unknown
   1 Asa Briggs,Unknown
   1 Art Malik,Unknown
   1 Arron Banks,Unknown
   1 Arnold Weinstock,Unknown
   1 Arlene Foster,Ulster Unionist Party
   1 Anthony Scrivener,Unknown
   1 Anthony Parsons,Unknown
   1 Anthony Frodsham,Unknown
   1 Annie Stewart,Unknown
   1 Anneliese Dodds,Labour and Co-operative
   1 Anne Wright,Unknown
   1 Anne McGuire,Labour Party (UK)
   1 Anne Kelleher,Unknown
   1 Anne Campbell,Labour Party (UK)
   1 Anne Burdus,Unknown
   1 Anna White,Unknown
   1 Anna Vinton,Unknown
   1 Anna Raeburn,Unknown
   1 Ann Winterton,Conservative Party (UK)
   1 Anila Graham,Unknown
   1 Angus Maude,Conservative Party (UK)
   1 Angela Epstein,Unknown
   1 Andy Parsons,Unknown
   1 Andy Gilchrist,Unknown
   1 Andrey Illarionov,Unknown
   1 Andrew Rosindell,Conservative Party (UK)
   1 Andrew Motion,Unknown
   1 Andrew MacKay,Conservative Party (UK)
   1 Andrew Knight (journalist),Unknown
   1 Andrew Hunter (British politician),Democratic Unionist Party
   1 Andrew Foster (British public servant),Unknown
   1 Andile Mngxitama,Unknown
   1 Anas Sarwar,Scottish Labour Party
   1 Amanda Foreman (historian),Unknown
   1 Alun Cairns,Conservative Party (UK)
   1 Alistair Burt,Conservative Party (UK)
   1 Alison Phillips,Unknown
   1 Alison Carnwath,Unknown
   1 Alice Miles,Unknown
   1 Alexei Sayle,Unknown
   1 Alex Neil (politician),Labour Party (UK)
   1 Alex Massie (journalist),Unknown
   1 Alex Jarratt,Unknown
   1 Alex James (musician),Unknown
   1 Aleksander Nekrassov,Unknown
   1 Alejandro Agag,Unknown
   1 Alec Kitson,Unknown
   1 Albert Reynolds,Fianna Fáil
   1 Alan Walters,Unknown
   1 Alan Savage (football chairman),Unknown
   1 Alan Sapper,Unknown
   1 Alan Milburn,Labour Party (UK)
   1 Alan Fisher (trade unionist),Unknown
   1 Alan Eastwood,Unknown
   1 Alan Cumming,Unknown
   1 Alan Cochrane,Unknown
   1 Akala (rapper),Unknown
   1 Ahdaf Soueif,Unknown
   1 Afua Hirsch,Unknown
   1 Afshin Rattansi,Unknown
   1 Aden Ridgeway,Australian Democrats
   1 Adam Thomson (diplomat),Unknown
   1 Adam Thompson,Unknown
   1 Adam Rickitt,Unknown
   1 Abi Ekoku,Unknown
   1 Aaron Porter,Labour Party (UK)
   1 A. N. Wilson,Unknown
   1 A. J. P. Taylor,Unknown
   1 "William McCarthy, Baron McCarthy",Unknown
   1 "Waheed Alli, Baron Alli",Labour Party (UK)
   1 "Vivien Stern, Baroness Stern",Unknown
   1 "Victor Adebowale, Baron Adebowale",Crossbench
   1 "UK Independence Party leadership election, September 2016",Unknown
   1 "Tony Hall, Baron Hall of Birkenhead",Unknown
   1 "Tom McNally, Baron McNally",Labour Party (UK)
   1 "Timothy Clement-Jones, Baron Clement-Jones",Liberal Party (UK)
   1 "Shriti Vadera, Baroness Vadera",Labour Party (UK)
   1 "Sally Hamwee, Baroness Hamwee",Liberal Democrats (UK)
   1 "Ruth Deech, Baroness Deech",Unknown
   1 "Rosalyn Higgins, Baroness Higgins",Unknown
   1 "Rosalind Grender, Baroness Grender",Unknown
   1 "Rita Donaghy, Baroness Donaghy",Unknown
   1 "Richard Ryder, Baron Ryder of Wensum",Conservative Party (UK)
   1 "Richard Luce, Baron Luce",Crossbench
   1 "Quintin Hogg, Baron Hailsham of St Marylebone",Conservative Party (UK)
   1 "Peter Taylor, Baron Taylor of Gosforth",Unknown
   1 "Peter Brooke, Baron Brooke of Sutton Mandeville",Conservative Party (UK)
   1 "Peter Archer, Baron Archer of Sandwell",Labour Party (UK)
   1 "Peta Buscombe, Baroness Buscombe",Conservative Party (UK)
   1 "Paul Myners, Baron Myners",Unknown
   1 "Patrick Devlin, Baron Devlin",Unknown
   1 "Muriel Turner, Baroness Turner of Camden",Labour Party (UK)
   1 "Michael Montague, Baron Montague of Oxford",Unknown
   1 "Martin O'Neill, Baron O'Neill of Clackmannan",Labour Party (UK)
   1 "Mark Malloch Brown, Baron Malloch-Brown",Unknown
   1 "Mark Bonham Carter, Baron Bonham-Carter",Unknown
   1 "Margaret Prosser, Baroness Prosser",Unknown
   1 "Lena Jeger, Baroness Jeger",Labour Party (UK)
   1 "Len Murray, Baron Murray of Epping Forest",Labour Party (UK)
   1 "John Stevens, Baron Stevens of Kirkwhelpington",Unknown
   1 "John MacKay, Baron MacKay of Ardbrecknish",Conservative Party (UK)
   1 "John Eatwell, Baron Eatwell",Unknown
   1 "John Bird, Baron Bird",Unknown
   1 "Jenny Randerson, Baroness Randerson",Liberal Democrats (UK)
   1 "Janet Royall, Baroness Royall of Blaisdon",Labour Co-operative
   1 "Jane Ewart-Biggs, Baroness Ewart-Biggs",Labour Party (UK)
   1 "Jane Bonham Carter, Baroness Bonham-Carter of Yarnbury",Unknown
   1 "Haleh Afshar, Baroness Afshar",Unknown
   1 "George Thomas, 1st Viscount Tonypandy",Labour Party (UK)
   1 "George Foulkes, Baron Foulkes of Cumnock",Labour Co-operative
   1 "George Brown, Baron George-Brown",Labour Party (UK)
   1 "Frank Judd, Baron Judd",Labour Party (UK)
   1 "Edward Shackleton, Baron Shackleton",Unknown
   1 "Donald Stokes, Baron Stokes",Unknown
   1 "Donald Anderson, Baron Anderson of Swansea",Labour Party (UK)
   1 "Derek Ezra, Baron Ezra",Unknown
   1 "Deborah Bull, Baroness Bull",Unknown
   1 "David Waddington, Baron Waddington",Conservative Party (UK)
   1 "David Sainsbury, Baron Sainsbury of Turville",Labour Party (UK)
   1 "David Clark, Baron Clark of Windermere",Labour Party (UK)
   1 "Christopher Tugendhat, Baron Tugendhat",Unknown
   1 "Christine Crawley, Baroness Crawley",Labour Party (UK)
   1 "Charles Powell, Baron Powell of Bayswater",Crossbench
   1 "Catherine Meyer, Baroness Meyer",Unknown
   1 "Beryl Platt, Baroness Platt of Writtle",Unknown
   1 "Bernard Donoughue, Baron Donoughue",Unknown
   1 "Barbara Young, Baroness Young of Old Scone",Unknown
   1 "Anthony Methuen, 6th Baron Methuen",Unknown
   1 "Ann Mallalieu, Baroness Mallalieu",Unknown
   1 "Andrew Green, Baron Green of Deddington",Unknown
   1 "Andrew Adonis, Baron Adonis",Labour Party (UK)
   1 "Alison Wolf, Baroness Wolf of Dulwich",Unknown
   1 "Alfred Robens, Baron Robens of Woldingham",Labour Party (UK)
   1 "Adair Turner, Baron Turner of Ecchinswell",Unknown
